date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:09	47046/47046	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:17%20GMT	https://colorlib.com//polygon/admindek/default/menu-bottom.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/menu-bottom.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:09	48694/48694	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/navbar-light.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/navbar-light.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:09	64030/64030	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:28%20GMT	https://colorlib.com//polygon/admindek/default/widget-statistic.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/widget-statistic.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:10	90997/90997	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:28%20GMT	https://colorlib.com//polygon/admindek/default/widget-data.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/widget-data.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:10	55413/55413	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/widget-chart.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/widget-chart.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:10	50698/50698	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:37%20GMT	https://colorlib.com//polygon/admindek/default/alert.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/alert.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:11	47681/47681	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:40%20GMT	https://colorlib.com//polygon/admindek/default/breadcrumb.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/breadcrumb.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:11	98707/98707	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:42%20GMT	https://colorlib.com//polygon/admindek/default/button.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/button.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:11	52881/52881	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:40%20GMT	https://colorlib.com//polygon/admindek/default/box-shadow.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/box-shadow.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:12	51981/51981	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:38%20GMT	https://colorlib.com//polygon/admindek/default/accordion.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/accordion.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:12	65199/65199	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:10%20GMT	https://colorlib.com//polygon/admindek/default/generic-class.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/generic-class.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:12	61045/61045	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:25%20GMT	https://colorlib.com//polygon/admindek/default/tabs.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/tabs.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:14	53936/53936	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:47%20GMT	https://colorlib.com//polygon/admindek/default/color.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/color.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:14	54011/54011	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:15%20GMT	https://colorlib.com//polygon/admindek/default/label-badge.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/label-badge.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:14	49686/49686	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/progress-bar.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/progress-bar.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:15	58164/58164	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:15%20GMT	https://colorlib.com//polygon/admindek/default/list.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/list.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:15	56063/56063	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/tooltip.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/tooltip.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:16	51925/51925	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:27%20GMT	https://colorlib.com//polygon/admindek/default/typography.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/typography.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:16	50867/50867	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:22%20GMT	https://colorlib.com//polygon/admindek/default/other.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/other.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:16	50602/50602	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:50:49%20GMT	https://colorlib.com//polygon/admindek/default/draggable.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/draggable.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:16	74722/74722	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:20%20GMT	https://colorlib.com//polygon/admindek/default/modal.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/modal.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:17	48431/48431	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:21%20GMT	https://colorlib.com//polygon/admindek/default/notification.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/notification.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:18	49433/49433	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:23%20GMT	https://colorlib.com//polygon/admindek/default/rating.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/rating.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:19	50073/50073	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:23%20GMT	https://colorlib.com//polygon/admindek/default/range-slider.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/range-slider.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:19	50202/50202	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:24%20GMT	https://colorlib.com//polygon/admindek/default/slider.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/slider.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:20	55477/55477	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:25%20GMT	https://colorlib.com//polygon/admindek/default/syntax-highlighter.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/syntax-highlighter.html	(from https://colorlib.com//polygon/admindek/default/index.html)
11:57:20	49251/49251	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Oct%202018%2014:51:26%20GMT	https://colorlib.com//polygon/admindek/default/tour.html	E:/IBRA4Media/template/Zekrayat%20Control%20panael3/zekrayat%20control%20panael%203/colorlib.com/polygon/admindek/default/tour.html	(from https://colorlib.com//polygon/admindek/default/index.html)
